ab	group	experiment	parameter	estimate	se	zval	ci.lb	ci.ub
Ceftriaxone	WHOA	WHOA_CT	kappa	3.73941766200168	0.280256106201506	13.3428588325316	3.1901257873993	4.28870953660407
Ceftriaxone	WHOA	WHOA_CT	upper	0.605662335444719	0.0150520159833323	40.2379545780041	0.576160926222666	0.635163744666771
Ceftriaxone	WHOA	WHOA_CT	lower	-0.883993971227954	0.0190269866914773	-46.4600089106027	-0.921286179877572	-0.846701762578336
Ceftriaxone	WHOA	WHOA_CT	inflection	0.0000250548068438742	0.000000841077610394894	29.7889356870536	0.0000234063250192972	0.0000267032886684512
Ceftriaxone	WHOA	WHOA_CT	zMIC	0.0000247619179614528	0.000000826909371664171	29.9451412814672	0.0000231412053745124	0.0000263826305483933
Tetracyclin	WHOA	WHOA_Tet	kappa	3.15135394480064	0.765130973166327	4.11871177003781	1.65172479393855	4.65098309566272
Tetracyclin	WHOA	WHOA_Tet	upper	0.506374454047259	0.0134661921816198	37.6033883385695	0.479981202362389	0.532767705732128
Tetracyclin	WHOA	WHOA_Tet	lower	-0.147233011365709	0.0224354580886102	-6.56251415880181	-0.191205701196043	-0.103260321535375
Tetracyclin	WHOA	WHOA_Tet	inflection	0.102988098018791	0.00700454212562616	14.7030449916218	0.0892594477243704	0.116716748313212
Tetracyclin	WHOA	WHOA_Tet	zMIC	0.195652672936992	0.0202014684781444	9.6850718129063	0.156058522285008	0.235246823588976
Ciprofloxacin	WHOA	WHOA_CIP	kappa	1.7854858644717	0.18774975489625	9.50992381033125	1.41750310676883	2.15346862217457
Ciprofloxacin	WHOA	WHOA_CIP	upper	0.568348115957197	0.0407724042688458	13.9395291042837	0.488435672027152	0.648260559887242
Ciprofloxacin	WHOA	WHOA_CIP	lower	-1.95155996305751	0.0584287786327596	-33.4006633156511	-2.06607826483838	-1.83704166127664
Ciprofloxacin	WHOA	WHOA_CIP	inflection	0.00098801475515264	0.0000727008706932057	13.5901364829868	0.000845523666949253	0.00113050584335603
Ciprofloxacin	WHOA	WHOA_CIP	zMIC	0.000516560212439571	0.0000435582612679864	11.8590640994943	0.000431187589125132	0.00060193283575401
Azithromycin	WHOA	WHOA_AZ	kappa	0.902074442998151	0.0701115474760377	12.866274892969	0.764658335044747	1.03949055095155
Azithromycin	WHOA	WHOA_AZ	upper	0.558661634771205	0.0272075222475486	20.5333521254969	0.505335871057438	0.611987398484973
Azithromycin	WHOA	WHOA_AZ	lower	-1.59058981308873	0.0932148524990664	-17.063695006165	-1.77328756681111	-1.40789205936635
Azithromycin	WHOA	WHOA_AZ	inflection	0.055191837015813	0.00681291994223999	8.10105468488254	0.0418387592994679	0.068544914732158
Azithromycin	WHOA	WHOA_AZ	zMIC	0.0359715455702477	0.00299768630868419	11.9997697777914	0.0300961883682779	0.0418469027722175
Ceftriaxone	F89	F89_CT	kappa	2.11401078350789	0.17684241284532	11.9542068528377	1.7674060233919	2.46061554362388
Ceftriaxone	F89	F89_CT	upper	0.661612605729102	0.015482611511134	42.7326233208989	0.631267244780654	0.69195796667755
Ceftriaxone	F89	F89_CT	lower	-1.70771676583125	0.0283145638936753	-60.3123103800551	-1.76321229130081	-1.65222124036169
Ceftriaxone	F89	F89_CT	inflection	0.386133045043722	0.00736390956344553	52.4358754975058	0.371700047513959	0.400566042573486
Ceftriaxone	F89	F89_CT	zMIC	0.308142851380606	0.00857810277496124	35.9220283860493	0.291330078885999	0.324955623875213
Tetracyclin	F89	F89_Tet	kappa	2.5015099014078	0.306181719219785	8.17001716425845	1.90140475901247	3.10161504380314
Tetracyclin	F89	F89_Tet	upper	0.675826237838171	0.0119995547010797	56.3209431244447	0.652307542793536	0.699344932882805
Tetracyclin	F89	F89_Tet	lower	-0.177575488704057	0.0181713592398118	-9.77227329890688	-0.213190698364228	-0.141960279043887
Tetracyclin	F89	F89_Tet	inflection	0.943107364334137	0.0640929025178632	14.7146926927094	0.817487583734489	1.06872714493379
Tetracyclin	F89	F89_Tet	zMIC	0.935537314349466	0.0784918975441615	11.9189030157299	0.781696022084701	1.08937860661423
Ciprofloxacin	F89	F89_CIP	kappa	1.87111530880478	0.347040643463131	5.39163162600452	1.19092814644543	2.55130247116412
Ciprofloxacin	F89	F89_CIP	upper	0.794418987062645	0.0235024820989989	33.8014931238468	0.74835496860131	0.84048300552398
Ciprofloxacin	F89	F89_CIP	lower	-0.569885843101224	0.0325720370135797	-17.4961683502826	-0.633725862550946	-0.506045823651503
Ciprofloxacin	F89	F89_CIP	inflection	2.07661519287443	0.116035463067661	17.8963838982876	1.84918986433239	2.30404052141648
Ciprofloxacin	F89	F89_CIP	zMIC	2.19586220347522	0.135893116207571	16.1587449368748	1.92951658996146	2.46220781698897
Azithromycin	F89	F89_AZ	kappa	0.398328819946241	0.0733766617477882	5.42854922066889	0.254513205614798	0.542144434277683
Azithromycin	F89	F89_AZ	upper	0.996000825077771	0.12985030917528	7.67037700105361	0.741498895712831	1.25050275444271
Azithromycin	F89	F89_AZ	lower	-2.37676771675568	0.365708185744704	-6.49908262763053	-3.09354258966679	-1.65999284384458
Azithromycin	F89	F89_AZ	inflection	0.225446373616743	0.110773970156691	2.03519268378526	0.00833338168511499	0.442559365548372
Azithromycin	F89	F89_AZ	zMIC	0.0692657228869879	0.0381820998017796	1.81408888580192	-0.00556981757861402	0.14410126335259
